link_id,road_name,st_node_nm,ed_node_nm,map_dist,reg_cd,speed,travel_time
1209910080,강남순환로,봉천터널출구부,서초터널입구부,542,120,100.0,20
1219910090,강남순환로,서초터널입구부,서초터널중간부,1567,121,99.0,57
1209910060,강남순환로,봉천터널입구부,봉천터널중간부,1823,120,94.0,70
1179910020,강남순환로,금천영업소,관악터널입구,118,117,99.0,4
1219910100,강남순환로,서초터널중간부,선암영업소,1526,121,95.0,58
1209910070,강남순환로,봉천터널중간부,봉천터널출구부,1378,120,96.0,52
1179910030,강남순환로,관악터널입구,관악터널중간부,2770,117,98.0,102
1209910050,강남순환로,관악터널출구부,봉천터널입구부,296,120,94.0,11
1179910010,강남순환로,본선시점부(금천),금천영업소,273,117,88.0,11
1209910040,강남순환로,관악터널중간부,관악터널출구부,2088,120,97.0,77
1219910110,강남순환로,선암영업소,선암UD,387,121,77.0,18
1219920010,강남순환로,선암UD,선암영업소,384,121,79.0,18
1219920020,강남순환로,선암영업소,서초터널중간부,1660,121,95.0,63
1209920050,강남순환로,봉천터널입구부,봉천터널중간부,1848,120,96.0,69
1179920090,강남순환로,관악터널중간부,관악터널출구부,2561,117,98.0,94
1219920030,강남순환로,서초터널중간부,서초터널출구부,1437,121,93.0,56
1209920040,강남순환로,서초터널출구부,봉천터널입구부,546,120,78.0,25
1209920080,강남순환로,관악터널입구부,관악터널중간부,2286,120,92.0,89
1209920070,강남순환로,봉천터널출구부,관악터널입구부,300,120,80.0,14
1209920060,강남순환로,봉천터널중간부,봉천터널출구부,1358,120,94.0,52
1179920100,강남순환로,관악터널출구부,금천영업소,117,117,83.0,5
2210000500,강변북로,토평삼거리,강변북로구리시계,1997,104,80.0,90
1040001500,강변북로,천호대교북단,올림픽대교북단,897,104,79.0,41
1040002100,강변북로,광진교북단,천호대교북단,258,104,89.0,10
1040000500,강변북로,잠실철교북단,잠실대교북단,869,104,69.0,45
1179920110,강남순환로,금천영업소,본선시점부(금천),273,117,96.0,10
1040004100,강변북로,강변북로구리시계,광진교북단,1478,104,89.0,60
1040001100,강변북로,올림픽대교북단,잠실철교북단,662,104,77.0,31
1040000200,강변북로,잠실대교북단,청담대교북단,2012,104,78.0,93
1040000800,강변북로,청담대교북단,영동대교북단,709,104,84.0,30
1030000600,강변북로,뚝섬정수장앞,성수대교북단램프(강변북로),512,103,76.0,24
1030001000,강변북로,동부간선강변북로분기점,동부간선도로강변북로분기점,582,103,78.0,27
1020000300,강변북로,반포대교북단,동작대교북단,1055,102,73.0,52
1020000900,강변북로,동호대교북단,반포대교북단,2937,102,73.0,145
1030000400,강변북로,영동대교북단,뚝섬정수장앞,1457,104,76.0,69
1030000800,강변북로,성수대교북단램프(강변북로),동부간선강변북로분기점,259,103,76.0,12
1020000800,강변북로,한강대교북단,이촌대림아파트(강변북로),856,102,71.0,43
1020000200,강변북로,동작대교북단,한강시민공원이촌지구,1150,102,72.0,58
1020000600,강변북로,한강시민공원이촌지구,한강대교북단,826,102,72.0,41
1030001100,강변북로,동부간선도로강변북로분기점,동호대교북단,1433,103,78.0,66
1020001200,강변북로,이촌대림아파트(강변북로),원효대교북단,565,102,71.0,29
1130002000,강변북로,양화대교북단,망원동진출입(강변북로),739,113,72.0,37
1130003400,강변북로,내부순환로연결램프(강변북로),성산대교북단,372,113,72.0,19
1020001400,강변북로,원효대교북단,원효로진출입(강변북로),882,102,62.0,51
1130000400,강변북로,마포대교북단,강변북로마포-서강,642,113,65.0,36
1130002400,강변북로,망원동진출입(강변북로),내부순환로연결램프(강변북로),612,113,72.0,31
1130001000,강변북로,상수진출입(강변북로),양화대교북단,1684,113,64.0,95
1020001800,강변북로,원효로진출입(강변북로),마포대교북단,381,102,62.0,22
1130001400,강변북로,서강대교북단,상수진출입(강변북로),375,113,64.0,21
1130004400,강변북로,성산대교북단,월드컵대교북단,724,113,70.0,37
1130005800,강변북로,월드컵대교북단,노을공원,1044,113,80.0,47
1130000800,강변북로,강변북로마포-서강,서강대교북단,804,113,65.0,45
1130007000,강변북로,노을공원,가양대교북단,1464,113,80.0,66
1130005700,강변북로,노을공원,월드컵대교북단,1042,113,73.0,51
1130004300,강변북로,월드컵대교북단,성산대교북단,748,113,64.0,42
1130006900,강변북로,가양대교북단,노을공원,1466,113,73.0,72
1130002300,강변북로,내부순환로연결램프(강변북로),망원동진출입(강변북로),616,113,68.0,33
1130000900,강변북로,양화대교북단,상수진출입(강변북로),1731,113,58.0,107
1130001300,강변북로,상수진출입(강변북로),서강대교북단,753,113,58.0,47
1130003300,강변북로,성산대교북단,내부순환로연결램프(강변북로),350,113,68.0,19
1130000700,강변북로,서강대교북단,강변북로마포-서강,399,113,77.0,19
1130001900,강변북로,망원동진출입(강변북로),양화대교북단,731,113,68.0,39
1020001700,강변북로,마포대교북단,원효로진출입(강변북로),494,113,75.0,24
