API 호출 시간,link_id,road_name,st_node_nm,ed_node_nm,map_dist,reg_cd,speed,travel_time
2025-11-20 17:25:26,1219910100,강남순환로,서초터널중간부,선암영업소,1526,121,105.0,52
2025-11-20 17:25:26,1219910090,강남순환로,서초터널입구부,서초터널중간부,1567,121,114.0,49
2025-11-20 17:25:26,1209910050,강남순환로,관악터널출구부,봉천터널입구부,296,120,107.0,10
2025-11-20 17:25:26,1179910010,강남순환로,본선시점부(금천),금천영업소,273,117,76.0,13
2025-11-20 17:25:26,1179910030,강남순환로,관악터널입구,관악터널중간부,2770,117,92.0,108
2025-11-20 17:25:26,1209910060,강남순환로,봉천터널입구부,봉천터널중간부,1823,120,107.0,61
2025-11-20 17:25:26,1209910040,강남순환로,관악터널중간부,관악터널출구부,2088,120,99.0,76
2025-11-20 17:25:26,1209910080,강남순환로,봉천터널출구부,서초터널입구부,542,120,103.0,19
2025-11-20 17:25:26,1179910020,강남순환로,금천영업소,관악터널입구,118,117,88.0,5
2025-11-20 17:25:26,1209910070,강남순환로,봉천터널중간부,봉천터널출구부,1378,120,106.0,47
2025-11-20 17:25:27,1209920050,강남순환로,봉천터널입구부,봉천터널중간부,1848,120,109.0,61
2025-11-20 17:25:27,1219920020,강남순환로,선암영업소,서초터널중간부,1660,121,91.0,66
2025-11-20 17:25:27,1219910110,강남순환로,선암영업소,선암UD,387,121,81.0,17
2025-11-20 17:25:27,1209920040,강남순환로,서초터널출구부,봉천터널입구부,546,120,83.0,24
2025-11-20 17:25:27,1209920070,강남순환로,봉천터널출구부,관악터널입구부,300,120,84.0,13
2025-11-20 17:25:27,1209920080,강남순환로,관악터널입구부,관악터널중간부,2286,120,101.0,81
2025-11-20 17:25:27,1179920090,강남순환로,관악터널중간부,관악터널출구부,2561,117,115.0,80
2025-11-20 17:25:27,1209920060,강남순환로,봉천터널중간부,봉천터널출구부,1358,120,90.0,54
2025-11-20 17:25:27,1219920030,강남순환로,서초터널중간부,서초터널출구부,1437,121,96.0,54
2025-11-20 17:25:27,1219920010,강남순환로,선암UD,선암영업소,384,121,78.0,18
2025-11-20 17:25:27,1179920110,강남순환로,금천영업소,본선시점부(금천),273,117,69.0,14
2025-11-20 17:25:27,1040004100,강변북로,강변북로구리시계,광진교북단,1478,104,95.0,56
2025-11-20 17:25:27,1040002100,강변북로,광진교북단,천호대교북단,258,104,95.0,10
2025-11-20 17:25:27,1179920100,강남순환로,관악터널출구부,금천영업소,117,117,99.0,4
2025-11-20 17:25:27,1040001100,강변북로,올림픽대교북단,잠실철교북단,662,104,83.0,29
2025-11-20 17:25:27,2210000500,강변북로,토평삼거리,강변북로구리시계,1997,104,80.0,90
2025-11-20 17:25:27,1040001500,강변북로,천호대교북단,올림픽대교북단,897,104,79.0,41
2025-11-20 17:25:27,1040000800,강변북로,청담대교북단,영동대교북단,709,104,82.0,31
2025-11-20 17:25:27,1040000500,강변북로,잠실철교북단,잠실대교북단,869,104,79.0,40
2025-11-20 17:25:27,1040000200,강변북로,잠실대교북단,청담대교북단,2012,104,84.0,86
2025-11-20 17:25:28,1030000400,강변북로,영동대교북단,뚝섬정수장앞,1457,104,81.0,65
2025-11-20 17:25:28,1030000600,강변북로,뚝섬정수장앞,성수대교북단램프(강변북로),512,103,81.0,23
2025-11-20 17:25:28,1020000900,강변북로,동호대교북단,반포대교북단,2937,102,80.0,132
2025-11-20 17:25:28,1020000200,강변북로,동작대교북단,한강시민공원이촌지구,1150,102,78.0,53
2025-11-20 17:25:28,1030000800,강변북로,성수대교북단램프(강변북로),동부간선강변북로분기점,259,103,81.0,12
2025-11-20 17:25:28,1030001000,강변북로,동부간선강변북로분기점,동부간선도로강변북로분기점,582,103,83.0,25
2025-11-20 17:25:28,1030001100,강변북로,동부간선도로강변북로분기점,동호대교북단,1433,103,83.0,62
2025-11-20 17:25:28,1020000800,강변북로,한강대교북단,이촌대림아파트(강변북로),856,102,79.0,39
2025-11-20 17:25:28,1020000600,강변북로,한강시민공원이촌지구,한강대교북단,826,102,78.0,38
2025-11-20 17:25:28,1020000300,강변북로,반포대교북단,동작대교북단,1055,102,81.0,47
2025-11-20 17:25:28,1020001200,강변북로,이촌대림아파트(강변북로),원효대교북단,565,102,79.0,26
2025-11-20 17:25:28,1020001400,강변북로,원효대교북단,원효로진출입(강변북로),882,102,72.0,44
2025-11-20 17:25:28,1020001800,강변북로,원효로진출입(강변북로),마포대교북단,381,102,72.0,19
2025-11-20 17:25:28,1130001000,강변북로,상수진출입(강변북로),양화대교북단,1684,113,75.0,81
2025-11-20 17:25:28,1130000400,강변북로,마포대교북단,강변북로마포-서강,642,113,83.0,28
2025-11-20 17:25:28,1130003400,강변북로,내부순환로연결램프(강변북로),성산대교북단,372,113,84.0,16
2025-11-20 17:25:28,1130002000,강변북로,양화대교북단,망원동진출입(강변북로),739,113,84.0,32
2025-11-20 17:25:28,1130002400,강변북로,망원동진출입(강변북로),내부순환로연결램프(강변북로),612,113,84.0,26
2025-11-20 17:25:28,1130001400,강변북로,서강대교북단,상수진출입(강변북로),375,113,75.0,18
2025-11-20 17:25:29,1130000800,강변북로,강변북로마포-서강,서강대교북단,804,113,83.0,35
2025-11-20 17:25:29,1130004400,강변북로,성산대교북단,월드컵대교북단,724,113,75.0,35
2025-11-20 17:25:29,1130005800,강변북로,월드컵대교북단,노을공원,1044,113,96.0,39
2025-11-20 17:25:29,1130007000,강변북로,노을공원,가양대교북단,1464,113,96.0,55
2025-11-20 17:25:29,1130005700,강변북로,노을공원,월드컵대교북단,1042,113,87.0,43
2025-11-20 17:25:29,1130002300,강변북로,내부순환로연결램프(강변북로),망원동진출입(강변북로),616,113,76.0,29
2025-11-20 17:25:29,1130003300,강변북로,성산대교북단,내부순환로연결램프(강변북로),350,113,76.0,17
2025-11-20 17:25:29,1130006900,강변북로,가양대교북단,노을공원,1466,113,87.0,61
2025-11-20 17:25:29,1130000900,강변북로,양화대교북단,상수진출입(강변북로),1731,113,74.0,84
2025-11-20 17:25:29,1130001900,강변북로,망원동진출입(강변북로),양화대교북단,731,113,76.0,35
2025-11-20 17:25:29,1130004300,강변북로,월드컵대교북단,성산대교북단,748,113,78.0,35
2025-11-20 17:25:29,1130001300,강변북로,상수진출입(강변북로),서강대교북단,753,113,74.0,37
2025-11-20 17:25:29,1130000300,강변북로,강변북로마포-서강,마포대교북단,591,113,84.0,25
2025-11-20 17:25:29,1130000700,강변북로,서강대교북단,강변북로마포-서강,399,113,84.0,17
2025-11-20 17:25:29,1020001700,강변북로,마포대교북단,원효로진출입(강변북로),494,113,90.0,20
2025-11-20 17:25:29,1020001300,강변북로,원효로진출입(강변북로),이촌대림아파트(강변북로),1010,102,90.0,40
2025-11-20 17:25:30,1020000500,강변북로,한강대교북단,한강시민공원이촌지구,710,102,78.0,33
2025-11-20 17:25:30,1020000700,강변북로,이촌대림아파트(강변북로),한강대교북단,681,102,80.0,31
2025-11-20 17:25:30,1020000100,강변북로,한강시민공원이촌지구,동작대교북단,1457,102,78.0,67
2025-11-20 17:25:30,1020001100,강변북로,이촌대림아파트(강변북로),이촌대림아파트(강변북로),273,102,80.0,12
2025-11-20 17:25:30,1020000400,강변북로,동작대교북단,반포대교북단,1066,102,90.0,43
2025-11-20 17:25:30,1020001000,강변북로,반포대교북단,한남대교북단,1900,102,83.0,82
2025-11-20 17:25:30,1020001600,강변북로,한남대교북단,동호대교북단,1059,102,81.0,47
